,date,hour,holiday,weather,temp,temp_felt,humidity,windspeed,co,type_a,type_b,type_ab
0,2016-01-06,19,0,1.0,276.42999999999995,274.1516,0.38,7.0015,"2,9",5.0,127.0,132.0
1,2016-01-06,20,0,1.0,275.48999999999995,272.1518,0.47,11.0014,"2,9",7.0,82.0,89.0
2,2016-01-06,21,0,1.0,274.54999999999995,270.152,0.51,12.998000000000001,"2,9",3.0,40.0,43.0
3,2016-01-06,22,0,1.0,273.60999999999996,270.152,0.55,8.9981,"2,9",1.0,41.0,42.0
4,2016-01-06,23,0,1.0,274.54999999999995,274.1516,0.47,0.0,"2,9",1.0,18.0,19.0
5,2016-01-07,0,0,1.0,273.60999999999996,273.1484,,0.0,"2,9",,11.0,11.0
6,2016-01-07,1,0,1.0,272.66999999999996,272.1518,0.64,0.0,"2,9",,4.0,4.0
7,2016-01-07,2,0,1.0,272.66999999999996,272.1518,0.64,0.0,"2,9",,2.0,2.0
8,2016-01-07,4,0,2.0,272.66999999999996,270.152,0.64,6.0032,"2,9",,1.0,1.0
9,2016-01-07,5,0,2.0,271.72999999999996,269.1488,0.69,6.0032,"2,9",,4.0,4.0
10,2016-01-07,6,0,2.0,271.72999999999996,268.1522,0.63,7.0015,"2,9",,36.0,36.0
11,2016-01-07,7,0,2.0,272.66999999999996,272.1518,0.59,0.0,"2,9",,95.0,95.0
12,2016-01-07,8,0,1.0,272.66999999999996,272.1518,0.59,0.0,"2,9",3.0,216.0,219.0
13,2016-01-07,9,0,2.0,273.60999999999996,273.1484,0.51,0.0,"2,9",6.0,116.0,122.0
14,2016-01-07,10,0,1.0,274.54999999999995,274.1516,0.47,0.0,"2,9",3.0,42.0,45.0
15,2016-01-07,11,0,1.0,275.48999999999995,274.1516,0.44,6.0032,"2,9",2.0,57.0,59.0
16,2016-01-07,12,0,1.0,277.37,276.15139999999997,,0.0,"2,9",6.0,78.0,84.0
17,2016-01-07,13,0,1.0,277.37,275.1482,0.35,7.0015,"2,9",12.0,55.0,67.0
18,2016-01-07,14,0,1.0,278.31,275.1482,0.36,11.0014,"2,9",11.0,59.0,70.0
19,2016-01-07,15,0,1.0,278.31,275.1482,0.36,0.0,"2,9",8.0,54.0,62.0
20,2016-01-07,16,0,1.0,277.37,274.1516,0.38,11.0014,"2,9",12.0,74.0,86.0
21,2016-01-07,17,0,1.0,275.48999999999995,272.1518,0.51,11.0014,"2,9",9.0,163.0,172.0
